24,24.01 NIL,Nilsson; Annika,Greenhouse earth/ by Annika Nilsson,John Wiley & Sons:Chichester,ILLUSTRATION,20,219,Greenhouse effect. Atmospheric|Environmental protection,1992,,yes,,,"Climate change has become on eof the major issues on the international environmental agenda. Prediction of a rising sea and devastating droughts have alerted politicians worldwide to the risks of continued increases in the emission of carbon dioxide and other greenhouse gases.",0-471-93547-6,1,,,
681,681.01 OMA,Omatu; Sigeru,Neuro-Control and its applications/ by Sigeru Omatu; Marzuki Khalid and Rubiyah Yusof,Springer-Verlag:London,ILLUSTRATION,24,255,Intelligent control systems|Neural networks,1996,,yes,,Marzuki Khalid|Rubiyah Yusof,his valume is a response to the explosion of interest in neuro-control methods. It is predicted that neuro-control techniques will soon be available for domestic appliances and industrial control systems; similar to the fuzzy logic revolution in recent years,3-540-19965-9,1,,,
55,55.01 WAR,,Warisan geologi malaysia: geological heritage of malaysia/ editor Ibrahim Komoo,LESTARI:Bangi,ILLUSTRATION,24,319,Geology-Malaysia|Ecotourism-Malaysia|Conservation of natural resources-Malaysia,1997,,yes,Ibrahim Komoo…(et al.),,Malaysia abounds in geological diversity that makes up the tranquility and grandeur of the country's vista.,983-9444-08-5,1,,,
55,55.02 WAR,,Warisan geologi malaysia: pemetaan geowarisan dan pencirian geotapak/ editor Ibrahim Komoo,LESTARI:Bangi,ILLUSTRATION,24,507,Geology-Malaysia|Ecotourism-Malaysia|Conservation of natural resources-Malaysia,2001,,no,Ibrahim Komoo…(et al.),,This issue demonstrates that encouraging progress has been made in the mapping of geological heritage sites for the entire country. Early efforts at identifying potential geosites in all states in Peninsular Malaysia; Sabah and Sarawak are presented in the first section of the book,983-9444-26-3,1,,,
1,01.01 MAH,Mahathir bin Mohamad; Dato' seri,A new deal for Asia/by Mahathir Mohamad,Pelanduk: Subang Jaya,,21,155,Asia-Economic conditions|asia-Economic policy|Asia-Foreign economic relation,1999,,yes,,,A new deal for Asia looks at whether Asia can reinvent itself for the new millennium after the chaos and turmoil of the Asian crisis. According to Dr Mahathir Mohamad; now is not the time for recriminations; but to reexamine the way the global economic system function. Now is also the time to look ahead; move on and try to focus on the future.,967-978-697-8,2,,,
1,01.02 AZI,Aziz Zariza Ahmad,Mahathir's paradigm shift: the man behind the vision/ by Aziz Zariza Ahmad.,Rirma Malaysia Pub.: Taiping,,22,227,Mahathir bin Mohamad; Dato' Seri|Prime ministers-Malaysia|Malaysia-Politics and government,1997,,yes,,,,983-9609-02-5,2,,,
1,01.03 MAH,Mahathir bin Mohamad; Dato' seri,Globalisation and the new realities: selected speeches of Dr Mahathir Mohamad; Prime Minister of Malaysia/ ed by Hashim Makaruddin,Pelanduk: Subang Jaya,,22,236,Globalisation|International relations|Speeches; addresses; etc.,2002,,yes,Hashim Makaruddin,,,967-978-818-0,1,,,
1,01.04 MAH,Mahathir bin Mohamad; Dato' seri,Reflections on Asia/ by Dr Mahathir Mohamad.,Pelanduk: Subang Jaya,,21,152,Asia-Economic conditions|Asia-Foreign relation|Asia-Politics and government,2002,,yes,,,In reflections on Asia; Dr Mahathir says much that needs to be said about Asia and the rest of the world. He speaks his mind on how Asia can reinvent itself after the chaos of the Asian crisis of 1997: by reexamining the way the global economic system functions and challenging some of the most fundamental tenets of global capitalism.,967-978-813-X,1,,,
1,01.05 MAH,Mahathir bin Mohamad; Dato' seri,Excerpts from the speeches of Mahathir Mohamad on the multimedia super corridor/ by Mahathir Mohamad.,Pelanduk: Subang Jaya,,22,104,Interactive multimedia-Malaysia|Digital communications-Malaysia|Multimedia systems-Malaysia,1998,,yes,,,,967-978-632-3,2,,,
1,01.06 MAH,Mahathir bin Mohamad; Dato' seri,Mahathir Mohamad: a visionary and his vision of Malaysia's k-economy/ ed by Ng Tien Chuan: with commentaries by David N. Abdulai.,Pelanduk: Subang Jaya,,22,245,mahathir bin Mohamad; Dato' Seri|-Views on economic|Information technology-Economic aspects-Malaysia-21st century|Knowledge management-Economic aspects-Malaysia-21st century,2002,,yes,Ng Tien Chuan,,"Why is Dr Mahathir Mohamad a visionary? Simple; unlike many people; he has the ability to see the big picture. He can paint a picture but he is not an artist; he can anticipate trends and the opportunities embedded in such trends but he is not a clairvoyant. His thoughts have no limits and he does not believe in the impossible. His is a ""can-do"" attitude where the unreachable is reachable.",967-978-820-2,3,,,
1,01.07 MAH,Mahathir bin Mohamad; Dato' seri,The Malaysian currency crisis/ by Mahathir Mohamad.,Pelanduk: Subang Jaya,,21,61,Foreign exchange-Malaysia|Financial crises-Malaysia|Malaysia-Economic conditions,2000,,yes,,,For ten consecutive year; Malaysia; a multiracial country which had always been politically stable and economically resilient. Its currency was strong and its international debts were well within accepted limits.Indeed; it was certainly not a candidate for severe recession. A slowdown in growth perhaps; but not economic and financial turmoil.,967-978-756-7,1,,,
1,01.08 MAH,Mahathir bin Mohamad; Dato' seri,Politics; democracy and the new Asia/ selected speeches of Dr Mahathir Mohamad; Prime Minister of Malaysia; ed. By Hashim Makaruddin.,Pelanduk: Subang Jaya,,22,210,Speeches; addresses; ets.|Asia-Politics and government-Addresses; essays; lectures|Democracy-Asia-Addresses; essays; essays; lectures,2000,,yes,Hashim Makaruddin,,,967-978-739-7,2,,,
1,01.09 MAH,Mahathir bin Mohamad; Dato' seri,Managing the Malaysian economy/ selected speeches of Dr Mahathir Mohamad; Prime Minister of Malaysia; ed. By Hashim Makaruddin.,Pelanduk: Subang Jaya,,22,220,Speeches; addresses; etc.|Malaysia-Economic conditions-Addresses; essays; lecture|Malaysia-Economic policy-Addresses; essays; lectures,2000,,yes,Hashim Makaruddin,,,967-978-736-2,2,,,
1,01.10 MAH,Mahathir bin Mohamad; Dato' seri,Regional cooperation and the digital economy/ selected speeches of Dr Mahathir Mohamad; Prime Minister of Malaysia; ed. By Hashim Makaruddin.,Pelanduk: Subang Jaya,,22,206,Speeches; sddresses; etc.|Electronic commerce-Addresses; essays; lectures|Information technology-Economic aspects-Addresses; essays; lecture,2000,,yes,Hashim Makaruddin,,,967-978-740-0,2,,,
1,01.11 MAH,Mahathir bin Mohamad; Dato' seri,Islam and the Muslim ummah/ selected speeches of Dr Mahathir Mohamad; Prime Minister of Malaysia; ed. By Hashim Makaruddin.,Pelanduk: Subang Jaya,,22,194,Speeches; addresses; etc.|Islam-Customs and practices-Addresses; essays; lectures|Civilization; Islamic-Addresses; essays; lectures,2000,,yes,Hashim Makaruddin,,,967-978-738-9,2,,,
23,23.01 BAS,Baskin; Yvonne,A plague of rats and rubbervines: the growing threat of species invasions/ by Yvonne Baskin.,Ialand: Washington,,23,377,Biological invasions|Nature conservation,2002,,yes,,,Bullfrogs; cheatgrass; kudzu; feral; feral pigs; Asian long-horned beetles; and zebra mussels. Around the world; unique plant and animal communities are increasingly succumbing to such otherwise harmless species that-once moved into new territory-can disrupt human enterprise and well-being as well as colonize native habitats and reduce biological variety.,1-55963-876-1,1,,,
21,21.01 BUL,Bullis; Douglas,Preparing for electronic commerce in Asia/ by Douglas Bullis.,Quorum Books: westport,,24,275,Electronic commerce-Asia|Information technology-Economic aspects-Asia,1999,,yes,,,The economic crisis of 1997 will not mean the end of the rise of Asia and the Pacific Rim. Leading them out of a temporary setback will be the new high-tech sectors of their economies: information services; communication technology; and electronic delivery systems such as e-commerce and e-business.,1-56720-206-3,1,,,
1,01.12 RUS,Russel; Robert Arnold,Winning the future/ by Robert Arnold Russel.,Carroll & Graf Pub.: New York,,22,280,Finance; Personal,1986,,yes,,,It's the year 2000. An integrated global economy is surging ahead. National borders are dissolving. Government bureaucracies are being slashed. GSC's (Global Service Corporations) composed of harmonious groups of parthership companies replace old-fashioned multinationals; servicing a remarkable range of human needs. City center office buildings are fast being converted to condominiums. Factories are shrinking in size. More and more people work at home. Consultants and entrepreneurs outnumber salaried workers.,0-88184-191-9,1,,,
26,26.01 WIL,Wilson; E. Bright,An introduction to scientific research/ by E. Bright Wilson.,Dover Pub.: New York,,21,375,Research,1990,,yes,,,This book is intended to assist scientists in planning and carrying out research. However; unlike most books dealing with the scientific method; which stress its philosophical rationale; this book is writtenfrom a practical standpoint. It contains a rich legacy of principles; maxims; procedures and general techniques that have been found useful in a wide range of sciences.,0-486-66545-3,1,,,
33,33.01 IND,,Industrial technology development in Malaysia: industry and firm studies/ ed by Jomo K.S. Greg Felker and Rajah Rasiah,Routledge: London,,24,399,High technology industries-Malaysia|Technological innovations-Economic aspects-Malaysia|Industrial policy-Malaysia,1999,,yes,,,Over the last decade Malaysia's remarkable economic performance has attracted attention around the world and been subject to much study and enthusiastic acclaim. However; in the wake of the present financial crisis; the debate has centred on whether this impressive growth rate can be sustained. As the economy moves beyond growth based on low labour costs and other factor-endowed advantages industrial technology development becomes increasingly critical to continued growth.,0-415-19766-X,1,,,
25,25.01 TOW,,Toward sustainable communities: transition and transformations in environmental policy/ ed by Daniel A. Mazmanian and Michael E. Kraft.,MIT Press: Cambridge,,23,323,Environmental policy-nited States|Sustainable development-United States,1999,,yes,Mazmanian; Daniel A|Kraft; Michael E. ,,This book reviews and assesses environmental policy over the past three decades-primarily in the United States but with implications for other nations.,0-262-63194-6,1,,,
1,01.13 ROS,Rosenberg; Alex,Philosophy of science: a contemporary introduction/ by Alex Rosenberg.,Routledge: London,,23,191,Science-Philosophy,2000,,yes,,,Science is perhaps the sole distinctively western institution adopted by all cultures that have come in contact with it. And yet its scope; nature and methods have been contested throughout its history. Natural science has both raised the most fundamental questions for philosophers and shaped philosophers' theories about the nature of reality and the extent of our knowledge of it.,0-415-15281-X,1,,,
1,01.14 LIT,Lithgow; Lynette,Special blend: fusion management from Asia & the west/ by Lynette Lithgow,John Wiley & Sons:Singapore,,24,293,Industrial management-Asia-Case studies|Comparative management,2000,,y,,,The rise of Asia from Third World status to global powerhouse was one of the most remarkable stories of the late twentieth century. Despite the economic setbacks of 1997; the region has bounced back stronger than ever to reaffirm its place as an economic force.,0-471-84550-7,1,,,
33,33.02 TEC,,Technology; competitiveness and the state: Malaysia's industrial technology policies/ ed by Jomo K.S. and Greg Felker.,Routledge: London,,24,271,Technology and state-Malaysia|Industrial policy-Malaysia,1999,,y,Jomo K.S.|Greg Felker,,Over the last decade Malaysia's remarkable economic performance has attracted attention around the world and been subject to much study and enthusiastic acclaim. However; in the wake of the present financial crisis; the debate has centred on whether this impressive growth rate can be sustained. As the economy moves beyond growth based on low labour costs and other factor-endowed advantages industrial technology development becomes increasingly critical to continued growth.,0-415-19765-1,1,,,
33,33.03 RAM,Ramon V. Navaratnam,Managing the Malaysia Economy: challenges & prospects/ by Ramon V. Navaratnam.,Pelanduk: Subang Jaya,,22,195,Economic forecasting-Malaysia|Malaysia-Economic policy|Civil service-Malaysia,1997,,y,,,Managing the Malaysian economy discusses the challenges and prospects that lie ahead as Malaysia marches towards the new millennium and beyond. The rapid economic growth Malaysia has enjoyed since the mid-1980s is a fact that is hard to ignore. The economy has in fact averaged 8 per cent growth per annum for the last 8 years. conomists have expressed concern about inflation; but at 3-4 per cent per annum it is still well under control.,967-978-581-5,1,,,
1,01.15 BRA,Braben; Donald,To be a scientists/ by Donald Braben.,Oxford University Press: Oxford,,23,159,Science-Vocational guidance|Science-Vocational guidance-Great Britain|Research-Vocational guidance,1994,,y,,,What does scientist do? How does one become a scientists? Why is science important? This book gives a light-hearted sketch of scientific enterprise. Long ago; scientists were free-wheeling philosophers who could turn their minds to whatever took their fancy.,0-19-852290-8,1,,,
1,01.16 TOL,Tolle; Eckhart,The power of now: a guide to spiritual enlightement/ by Eckhart Tolle.,New World Library: California,,23,191,Spiritual life,1999,,y,,,To make the journey into The Power of Now we will need to leave our analytical mind and its false created self; the ego; behind. From the beginning of the first chapter we more rapidly into a significantly higher altitude where one breathes a lighter is challenging; Eckhart Tolle offers simple language and a question and answer format to guidem us. the words themselves are the signposts.,1-57731-152-3,1,,,
63,63.01 ENV,,Environmental effects of transgenic plants: the scope and adequacy of regulation/ Committee on Environmental Impacts Associated with Commercialization of Transgenic Plants.,National Academy Press: Washington; D.C.,,23,320,Transgenic plants-Risk assessment|Agricultural biotechnology-Environmental aspects,2002,,y,Board on Agriculture and Natural Resources; Division on Earth and Life Studies and National Research Council,,Environmental effects of transgenic plants provides a wealth of information about transgenic processes; privious experience with the introduction of novel crops; principles of risk assessment and management; the science behind current regulatory schemes; issues in monitoring transgenic products already on the market; and more. The book discusses public involvement and public confidence in biotechnology regulation. And it looks to the future; exploring the potential of genetic engineering and the prospects for environmental effects.,0-309-08263-3,1,,,
1,01.17 MAL,Malin; David,A view of the universe/ by David Malin,Sky Pub. Cor.:Massachussetts,ILLUSTRATION,23,104,astronomical photography|Colour photography,1993,,y,,,,0-933346-66-2,1,,,
222,222.01 MOR,Morris; Bede,Images: illusion and reality,Australian Academy of Science: Canberra,ILLUSTRATION,30,184,Photography-History|Photography-Scientific applications|Creative ability in science,1986,,y,,,,,
26,26.02 SAG,Sage; Lee A,Winning the innovation race: lessons from the automotive industry's best companies/ by Lee A. Sage.,John Wiley & Sons; Inc.: New York,,24,242,Automobile industry and trade-Technological innovations,2000,,y,,,While the need for innovation is widely recognized; the practices that nurture it elude many executives. Winning the innovation race examines the three dimensions of innovation-people; processes; and technology-and provides vivid examples of practices that encourage innovation.,0-471-33346-8,1
266,266.01 WIL,Wilson; O. Edward,Consilience: the unity of knowledge/ by Edwars O. Wilson.,Vintage Books: New York,,20,367,Philosophy|Order (Philisophy)|Philosophy and science,1998,,y,,,One of our greatest living scientists presents us with a work of majestic learning and ambition whose central argument is at once path-clearing an as old as the enlightenment. For biologist he believes that all knowledge is intrinsically unified; and that behind disciplines as diverse as physics and biology; anthropology and the arts; lies a small number of natural laws; whose interlocking he calls consilience.,0-679-45077-7,1
222,CP 222.02 POP,,Population-the complex reality: a report of the population summit of the world's scientific academies/ ed by Sir Francis graham-Smith; F.R.S.,The Royal Society: London,,25,404,Population-Congresses|Population forecasting-Congresses|Population-Environmental aspects-Congresses,1994,,y,,,"Representatives of national academies of science from throughout the world met in New Delhi; India; in October 1993 for a ""Science Summit"" on world population. The national academies met to explore in greater detail the complex and interrelated issues of population growth; resource consumption; socioeconomic development; and environmental protection.",1-55591-926-X,1
266,266.02 SIM,Simmons; John,The scientific 100: a ranking of the most influential scientists past and present/ by John Simmons.,Carol Pub.: Secaucus; N.J.,,26,504,Scientists-Rating of|Scientists-Biography-Chronology|Science-History,1996,,y,,,Who are the greatest scientists throughout the ages and why? From Archimedes to Newton to Einstein to Hawking. The scientific 100 furnishes the fascinating answers. In vivid biographical sketches that provide both historical and scientific context; the author chronicles the lives and accomplishments of the world's most influential figures in science. And in the tradition of the Citadel Press 100 series; he then ranks them in order of influence.,0-8065-1749-2,1
1,01.18 LEO,Leoni; Edgar,Nostradamus and his prophecies/ by Edgar Leoni.,Wings Books: New York,,23,823,Prophecies (Occult sciences),1961,,y,,,,0-517-38809X,1
24,24.02 SUS,,Sustainable development: the challenge of transition: ed by Jurgen Schmandt and C.H. Ward.,Cambridge University Press: New York,,23,223,Sustainable development|Environmental policy,2000,,y,Schmandt; Jurgen|Ward; C.H. ,,Demographers predict that world population will double to around 12 billion people during the first half of the twenty-first century and then begin to level-off.,0-521-65305-3,1
23,23.02 GEN,,The genomic revolution unveiling the unity of life/ ed. by Michael Yudell and Robert DeSalle,Joseph Henry Press: Washington; DC,,23,249,Genetic-Popular works|Human genome-Popular works,2002,,y,Yudell; Michael|DeSalle; Robert ,,From the discoveries of Watson and Crick to the appearance of Dolly the Sheep; the past fifty years have ushered in a revolution of knowledge in how organisms develop; function; and procreate. Scientists are now engaged in an epic task that will vastly expand our knowledge: the sequencing of the human genome. Indeed; preliminary results of the Human Genome Project have revealed the remarkable unity of life; from one-celled creatures to human beings.,0-309-07436-3,
681,681.02 DOR,Dorf; Richard,Technology ventures: from idea to enterprise/ by Richard C. Dorf and Thomas H. Byers.,McGrawHill: Boston,ILLUSTRATION,23,664,Information technology|Entrepreneurship|New business enterprises,2005,,y,,Byers; Thomas,"Technology ventures is the first textbook to throughly examine a global phenomenon known as ""technology entrepreneurship"" ",0-07-285353-0,1
1,01.19 SET,,Setiu wetlands: tranquility amidst plenty/ ed. by Nakisah Mat Amin and Fauziah Abu Hasan. ,KUSTEM: Kuala Terengganu,ILLUSTRATION,22,105,Wetlands_Terengganu-Setiu|Wetlands ecology-Terengganu-Setiu,2003,,y,Nakisah Mat Amin|Fauziah Abu Hasan,,,983-2888-01-8,3
1,01.20 KAM,Kamaruzzaman Yunus,Sungai Terengganu/ by Kamaruzzaman Yunus… et al.,KUSTEM: Kuala Terengganu,ILLUSTRATION,22,100,Rivers-Terengganu,2002,,y,,Kamaruzzaman Yunus… et al,,983-40696-8-5,2
1,01.21 STR,,The straits of Malacca: international co-operation in trade; funding & navigational safety/ ed. By Hamzah Ahmad.,Pelanduk: Subang Jaya,,22,359,Malacca; Straits of|International co-operation|International economic relations,1997,,y,Hamzah bin Ahmad,,This book represents the views of experts in various fields; notably international law and the marine environment; and deals with navigational safety; marine pollution and meeting the financial costs of keeping the Straits of Malacca safe and clean.,967-978-576-9,1
33,33.04 PAC,,The pacific rim in the 21st century: alliances and collaborations in the Asia-Pacific/ with and introduction by Dr Mahathir Mohamad.,Pelanduk: Subang Jaya,,22,110,Economic forecasting-Pacific Area|Pacific area-Economic policy-2000|Asia-Foreign economic relations,1995,,y,,,This book looks at how the region can make its mark as an increasingly powerful force in the global economy through intra-regional strategic alliances and collaborations such as joint ventures; business partnership and technology transfers.,967-978-433-9,1
26,26.03 SCI,,Science and technology advice to the president; congress; and judiciary/ ed by William T. Golden.,Pergamon Press: New York,,23,523,Science and state-United States|Technology and state-United State,1988,,y,Golden; William T. ,,Eighty-five prominent and outstandingly qualified auuthors describe and discuss science and technology advising organizations at the highest levels of the U.S. Government.,0-08-036125-0,1
55,55.03 WAR,,Warisan geologi malaysia: geological heritage of malaysia/ editor Ibrahim Komoo,LESTARI:Bangi,ILLUSTRATION,23,307,Geology-Research-Malaysia-Congresses|Historical geology-Research-Malaysia-Congresses,2002,,y,Ibrahim Komoo…(et al.),,Fossil fuels minerals for construction and industry and gems symbolizing human wealth have long been known and exploited for societal well-being.,983-9444-36-0,1
23,23.03 STE,,Stem cells and the future of regenerative medicine/ Committee on the Biological Applications of Stem Cell Research.,National Academy Press: Washington; D.C.,,25,94,Stem cells-Research-Government policy-United States,2002,,y,,,Stem cell research has the potential to affect the lives of millions of people in the United States and around the world.,0-309-07630-7,1
1,01.22 MOD,,Modern Malaysia in the global economy: political and social change into the 21st century/ ed by Colin Barlow.,Edward Elgar: Cheltenham; UK,,24,244,Malaysia-Economic conditions|Malaysia-Social conditions|malaysia-Politics and government,2001,,y,Barlow; Colin ,,,1-85898-924-8,1
1,01.22 HOL,Holmes; Douglas,Egov; and eBusiness strategies for government/ by Douglas Holmes,Nicholas Brealey Pub.: London,,23,330,Internet in public administration|Electronic government information|Electronik public records,2001,,y,,,,1-85788-278-4,1
62,62.01 RIF,Rifkin; jeremy,The biotech century: harnessing the gene and remaking the world/ by Jeremy Rifkin,Putnam: New York,,23,271,Biotechnology-Social aspects|Biotechnology-Moral and ethical aspects|Genetic engineering-Social aspects,1998,,y,,,This book explores the epic marriage between computer technology and genetic engineering; and the historic transition into the Age of Biotechnology. Already; Rifkin explains; our economy is experiencing a massive shift away from the Industrial Age and into an era in which giant life-science corporations are fashioning a bio-industrial world.,0-87477-953-7,1
1,01.23 CRA,Crawford; Fred,The myth of excellence: why great companies never try to be the best at everything/ by Fred Crawford and Ryan Mathews.,Grown Business: New York,,24,251,Marketing research-Case studies|Consumer behavior-Case studies|Shopping-Case studies,2001,,y,,Fred Crawford|Ryan Mathews,"What do customer really want? And how can companies best serve them? Fred Crawford and Ryan Methews set off on what they describe as an ""expedition into the commercial wilderness"" to find the answers. What they discovered was a new consumer-one whom very few companies understand; much less manufacture products for or sell products or services for values; a scarce resource in our rapidly changing and challenging world.",0-609-60820-7,1
266,266.03 FEY,Feynman; Richard P,"""Surely you're joking Mr.Feynman!"": adventures of a curious character/ by Richard P. Feynman.",W.W. Norton & Company: New York,,21,350,Physicists-United States-Biography|Science-Anecdotes; facetiae; satire; etc,1985,,y,,,Richard feynman; winner of the Nobel Prize in physics; thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the greek; cracking the uncrackable sfes guarding the most deeply held nuclear secrets; accompanying a ballet on his bongo drum; painting a naked female toreador-and much else of an eyebrow-raising nature. In short; here is Feynman's life in all its eccentric glory-a combustible mixture of high intelligence; unlimited curiosity; and raging chutzpah.,0-393-31604-1,1
1,CP 01.24 SUS,,Sustainable development for island societies: Taiwan and the world/ ed by Hsin-Huang Michael hsiao; Chao-Han Liu and Huei-Min Tsai.,Asia-Pacific Research Program: Taipei,,23,533,Sustainable development-Taiwan|Environmental policy-Taiwan|Taiwan-Economic condition,2002,,y,Hsin-Huang Michael Hsiao|Chao-Han Liu|Huei-Min Tsai,,International Conference on Sustainable Development for Island Societies: articles.,957-671-948-8,1
63,63.02 HON,Hong; Ngit-Ming,Development history of zero-shade cocoa and its theories-let there be light/ Ngit-Ming Hong,,,21,142,Cacao|Cocoa,2002,,y,,,,983-40448-0-1,1
1,01.24 GLA,Glazebrook; Trish,Heidegger's philosophy of science/ by Trish Glazebrook,Fordham University Press: New York,,23,278,Science-Philosophy-History-20th century,2000,,y,,,"This book concerns itself with an issue that is not sufficiently addressed in the literature: Heidegger's philosophy of science. Although a great deal of attention is paid to his later critique of technology; no one has systematically studied how Heidegger understood ""science"". Many readers will be surprised to learn; through this book; that he developed the essentials of a fairly sophisticated philosophy of science; one that in many ways invites comparison with that of Thomas Kuhn.",0-8232-2038-9,1
1,01.25 HAR,,Harvard business reviewon business and the environment,Harvard Business School pub.: Boston,,21,251,industrial management-Environmental aspects|Green movement|Social responsibility of business,2000,,y,,,With concern for environmental issues growing; defining the controversial relationship between business and the environment has become even more essential. This comprehensive resource bring together the latest management thinking on the role of the environemnt in business; and offers a general management perspective that will help outline the critical environmental issues your organization may face.,1-57851-233-6,1
63,63.03 SMI,Smil; Vaclav,Feeding the world: a challenge for the twenty-first century/ Vaclav Smil.,The MIT Press: Cambridge,,23,360,Agricultural productivity|Food supply,2000,,y,,,This book addresses the question of how we can best feed the ten billion or so people who will likely inhabit the Earth by the middle of the twenty-first century.,0-262-19432-5,1
55,55.04 WAR,,Warisan geologi Malaysia: geologi pemuliharaan untuk pembangunan geotop=geological heritage of Malaysia: conservation geology for geotop development/ penyunting Ibrahim Komoo dan Mohd Shafeea Leman,LESTARI:Bangi,ILLUSTRATION,23,350,Geology-Malaysia|Conservation of natural resources-Malaysia,1999,,y,,,This collection of articles is the second in the series of publications on Geological Heritage of Malaysia that introduces the concept of conservation geology which advocates the utilisation of earth resources without destruction.,983-9444-16-6,1
1,REF 01.26 MER,,Merriam-webster's: manual forwriters and editors,Merriam-Webster: Springfield,,23,424,Authorship-tyle manuals,1998,,y,,,Master the rules and procedures developed by writers and editors to produce clear; consistent; and attractive written material.,0-87779-622-X,1
1,01.26 BUR,Burgelman; Robert A.,Strategic management of technology and innovation/ by Robert A. burgelman; Clayton M. Christensen and Steven C. Wheelwright.,McGrawHill: Boston,ILLUSTRATION,26,1208,Technology innovations-Management|New products-Management|High technology industries-Management,2004,4,y,,Christensen; Clayton M. |Wheelwright; Steven C. ,As the definitive volume in its field; Strategic Management of Technology and Innovation continues to be the first book that professors consult. Combining the talents and experience of Robert Burgelman; Steven Wheelwright and new co-author Clay christensen; the 4th edition again takes the lead in providing the best text and readings; as well as numerous cases that are entirely new to this edition.,0-07-253695-0,1
681,681.03 KEO,Keogh; Jim,Solving the year 2000 problem/ by Jim Keogh.,AP Professional: Boston,,24,264,Software maintenance|Year 2000 date conversion (Computer System),1997,,y,,,When midnight arrives; computers around the world will change their system dates; January 1; 2000 will be the date-or will it? Will the date change from 12-13-99 to 01-01-00? Whoops! What happened to the century digits in the date?.,0-12-575560-0,1
1,01.27.WHE,Wheatley; Margaret J.,Leadership and the new science: discovering order in a chaotic world/ by Margaret J. Wheatley.,BK: San Francisco,,23,197,Leadership|Organisation|Quantum theory,1999,2,y,,,This book is one of today's most acclaimed and influential books. Margaret Wheatley describes how the new science radically alters our understanding of the world; not only in science; but for how we can live and work well together in chaotic times.,1-57675-055-8,2
1,01.28 FOS,Foster; Richard N.,Creative destruction: why companies that are built to last underperform the market-and how to ,,,24,366,Organizational change|Strategic planning|Technological innovations-Management,2001,,y,,Kaplan; Sarah ,Tunning conventional wisdom on its head; a Senior Pertner and an Innovation Specialist from McKinsey & Company debunk the myth that high-octane; built-to-last companies can continue to excel year after year-and reveal the dynamic strategies of discontinuity and creative destruction these corporations must adopt in order to maintain excellence and remain competitive.,0-385-50133-1,1
1,01.29 LAW,Lawrence; Paul R,Driven: how human nature shapes our choices/ by Paul R. Lawrence and Nitin Nohria; Foreword by E.O. Wilson.,Jossey-Bass: New York,,24,315,Motivation (Psychology),2002,,y,,Nohria; Nitin ,This book have discovered about what drives us to make the choices we make. Driven reveals the scientific foundation for an understanding of human nature and the mysteries of human behavior.,0-7879-5785-2,2
