1,Generalities
2,Librarianship
6,"Organizations; Association; Congresses; Museums",
10,Philosophy/Psychology
20,Religion
200,ASM Publication
21,Technology/Hi-tech
222,World Academies/ASEAN
23,Biology
24,Biotechnology/Environmental
244,Directory/Reference/Encyclopedia/Dictionary
25,Science Policy
26,Science & Tech.-Research/innovation
266,Nobel Laureate
277,Antarctica
27,Physic/Mathematics
28,Medical
30,General Sociology
31,Statistics
32,Political Science
33,Economics
34,Law & Legislation
35,Public Administration
36,Social Welfare. Insurance
37,Education
38,Commerce
39,Astronomy/Space Science
40,Linguistics
50,Mathematics & Natural Sciences
55,Geology & Collateral Science
60,Applied Sciences
62,Engineering & Technology
63,Agriculture
64,Domestic Science
65,Management/ Government
66,Chemical Industry
67,Manufacturing Industries
68,Specialized Trades
681,Computer Sciences/IT
69,Building Industry
70,"Arts, Sports & Recreation"
71,Physical Planning & Landscaping
72,Engineering/Architecture
73,Sculpture & the Plastic Arts
74,Drawing & Minor Arts. Design
78,Music
79,"Entertainment; Pastimes; Games & Sport"
80,literature
90,"Geography; History; Biography"
900,Malaysiana
